                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.10389,                 0.4798,                0.95904,                0.21921,              0.0033329,              0.0033329,              0.0033329
                      2,                0.08243,                0.57857,                0.98105,                0.20604,              0.0066442,              0.0066442,              0.0066442
                      3,                0.07015,                0.61062,                0.98412,                 0.2022,              0.0099335,              0.0099335,              0.0099335
                      4,                0.06279,                0.63555,                0.98816,                0.19899,               0.009901,               0.009901,               0.009901
                      5,                0.05538,                0.64085,                 0.9876,                0.19693,               0.009901,               0.009901,               0.009901
                      6,                0.04939,                0.65659,                0.99136,                0.19458,               0.009868,               0.009868,               0.009868
                      7,                0.04415,                0.65436,                0.98885,                0.19431,               0.009835,               0.009835,               0.009835
                      8,                0.03949,                0.66119,                 0.9883,                0.19212,               0.009802,               0.009802,               0.009802
                      9,                0.03555,                0.65394,                0.98704,                0.19204,               0.009769,               0.009769,               0.009769
                     10,                0.03183,                0.66021,                 0.9883,                0.19087,               0.009736,               0.009736,               0.009736
                     11,                 0.0284,                0.65548,                0.98537,                0.19091,               0.009703,               0.009703,               0.009703
                     12,                0.02546,                0.65965,                0.98551,                0.18978,                0.00967,                0.00967,                0.00967
                     13,                0.02274,                0.65213,                0.98454,                0.19016,               0.009637,               0.009637,               0.009637
                     14,                0.02139,                0.65339,                0.98384,                0.18953,               0.009604,               0.009604,               0.009604
                     15,                0.01933,                0.66035,                0.98384,                 0.1892,               0.009571,               0.009571,               0.009571
                     16,                0.01665,                0.65965,                  0.983,                0.18862,               0.009538,               0.009538,               0.009538
                     17,                0.01598,                0.65896,                0.98426,                0.18825,               0.009505,               0.009505,               0.009505
                     18,                0.01453,                0.66021,                  0.983,                0.18853,               0.009472,               0.009472,               0.009472
                     19,                0.01378,                 0.6591,                 0.9837,                0.18822,               0.009439,               0.009439,               0.009439
                     20,                0.01319,                0.66105,                0.98342,                0.18791,               0.009406,               0.009406,               0.009406
                     21,                 0.0126,                0.66411,                  0.983,                0.18778,               0.009373,               0.009373,               0.009373
                     22,                0.01257,                0.66077,                0.98203,                0.18783,                0.00934,                0.00934,                0.00934
                     23,                0.01136,                0.66397,                0.98105,                0.18769,               0.009307,               0.009307,               0.009307
                     24,                0.01071,                0.66328,                0.97966,                0.18769,               0.009274,               0.009274,               0.009274
                     25,                 0.0105,                0.66397,                0.98147,                0.18766,               0.009241,               0.009241,               0.009241
                     26,                0.01051,                0.66077,                0.98133,                 0.1876,               0.009208,               0.009208,               0.009208
                     27,                0.01008,                0.66537,                0.98119,                0.18734,               0.009175,               0.009175,               0.009175
                     28,                0.00866,                0.66634,                0.98119,                0.18708,               0.009142,               0.009142,               0.009142
                     29,                0.01012,                0.66871,                0.98231,                0.18702,               0.009109,               0.009109,               0.009109
                     30,                0.00918,                0.66523,                0.98119,                0.18707,               0.009076,               0.009076,               0.009076
                     31,                0.00968,                0.66258,                0.98119,                0.18705,               0.009043,               0.009043,               0.009043
                     32,                0.00934,                0.66467,                0.98175,                0.18697,                0.00901,                0.00901,                0.00901
                     33,                0.00864,                0.66634,                0.98147,                0.18689,               0.008977,               0.008977,               0.008977
                     34,                0.00847,                0.66565,                0.98133,                 0.1869,               0.008944,               0.008944,               0.008944
                     35,                0.00911,                0.66565,                0.98147,                0.18688,               0.008911,               0.008911,               0.008911
                     36,                0.00854,                0.66425,                0.98161,                 0.1869,               0.008878,               0.008878,               0.008878
                     37,                  0.009,                0.66551,                0.98147,                 0.1869,               0.008845,               0.008845,               0.008845
                     38,                0.00785,                0.66509,                 0.9805,                0.18689,               0.008812,               0.008812,               0.008812
                     39,                0.00796,                 0.6662,                0.98077,                0.18684,               0.008779,               0.008779,               0.008779
                     40,                0.00702,                0.66606,                0.97938,                0.18677,               0.008746,               0.008746,               0.008746
                     41,                0.00781,                0.66801,                0.97966,                0.18673,               0.008713,               0.008713,               0.008713
                     42,                0.00783,                0.66773,                0.97952,                0.18671,                0.00868,                0.00868,                0.00868
                     43,                0.00743,                0.66787,                0.97896,                0.18671,               0.008647,               0.008647,               0.008647
                     44,                  0.007,                0.66927,                0.97841,                0.18668,               0.008614,               0.008614,               0.008614
                     45,                0.00782,                0.66885,                0.97813,                0.18669,               0.008581,               0.008581,               0.008581
                     46,                0.00713,                0.66885,                0.97771,                0.18669,               0.008548,               0.008548,               0.008548
                     47,                0.00789,                0.66857,                0.97813,                0.18671,               0.008515,               0.008515,               0.008515
                     48,                0.00765,                0.66787,                0.97813,                0.18674,               0.008482,               0.008482,               0.008482
                     49,                0.00746,                0.66606,                0.97799,                0.18678,               0.008449,               0.008449,               0.008449
                     50,                0.00752,                0.66578,                0.97785,                0.18681,               0.008416,               0.008416,               0.008416
                     51,                0.00771,                0.66648,                0.97771,                0.18685,               0.008383,               0.008383,               0.008383
                     52,                0.00617,                 0.6676,                0.97771,                0.18686,                0.00835,                0.00835,                0.00835
                     53,                0.00603,                0.66829,                0.97771,                0.18688,               0.008317,               0.008317,               0.008317
                     54,                 0.0069,                0.66746,                0.97757,                0.18688,               0.008284,               0.008284,               0.008284
                     55,                0.00735,                 0.6669,                0.97715,                0.18687,               0.008251,               0.008251,               0.008251
                     56,                0.00666,                0.66592,                0.97771,                0.18685,               0.008218,               0.008218,               0.008218
                     57,                0.00659,                 0.6662,                0.97729,                0.18686,               0.008185,               0.008185,               0.008185
                     58,                0.00719,                0.66606,                0.97687,                0.18689,               0.008152,               0.008152,               0.008152
                     59,                0.00657,                0.66732,                0.97632,                0.18692,               0.008119,               0.008119,               0.008119
                     60,                0.00628,                0.66523,                0.97687,                0.18693,               0.008086,               0.008086,               0.008086
                     61,                0.00626,                0.66523,                0.97687,                0.18696,               0.008053,               0.008053,               0.008053
                     62,                0.00703,                0.66439,                0.97646,                  0.187,                0.00802,                0.00802,                0.00802
                     63,                0.00643,                0.66439,                0.97673,                0.18702,               0.007987,               0.007987,               0.007987
                     64,                0.00597,                  0.663,                0.97646,                0.18706,               0.007954,               0.007954,               0.007954
                     65,                0.00729,                0.66272,                0.97673,                0.18707,               0.007921,               0.007921,               0.007921
                     66,                0.00608,                0.66356,                0.97673,                0.18709,               0.007888,               0.007888,               0.007888
                     67,                0.00516,                0.66272,                0.97687,                0.18711,               0.007855,               0.007855,               0.007855
                     68,                0.00615,                0.66077,                0.97715,                0.18713,               0.007822,               0.007822,               0.007822
                     69,                0.00599,                0.66147,                0.97701,                0.18714,               0.007789,               0.007789,               0.007789
                     70,                0.00579,                0.66133,                 0.9766,                0.18716,               0.007756,               0.007756,               0.007756
                     71,                 0.0057,                0.66147,                0.97673,                0.18717,               0.007723,               0.007723,               0.007723
                     72,                0.00605,                 0.6623,                0.97646,                0.18717,                0.00769,                0.00769,                0.00769
                     73,                 0.0059,                0.66133,                0.97701,                0.18717,               0.007657,               0.007657,               0.007657
                     74,                0.00576,                0.66272,                0.97701,                0.18717,               0.007624,               0.007624,               0.007624
                     75,                0.00541,                0.66369,                0.97701,                0.18717,               0.007591,               0.007591,               0.007591
                     76,                 0.0052,                0.66397,                0.97646,                 0.1872,               0.007558,               0.007558,               0.007558
                     77,                0.00473,                0.66411,                0.97673,                0.18721,               0.007525,               0.007525,               0.007525
                     78,                0.00528,                0.66342,                0.97687,                0.18721,               0.007492,               0.007492,               0.007492
                     79,                0.00597,                0.66342,                0.97646,                 0.1872,               0.007459,               0.007459,               0.007459
